food_item,category,item_text,item_id
Rajma Chawal,mild,Rajma Chawal mild lunch,86
Khichdi,mild,Khichdi mild lunch,87
Chicken 65,spicy,Chicken 65 spicy lunch,88
Upma,mild,Upma mild dinner,89
Upma,mild,Upma mild lunch,90
Dhokla,mild,Dhokla mild lunch,91
Vada Pav,spicy,Vada Pav spicy snack,92
Dal Tadka,mild,Dal Tadka mild dinner,93
Chole Bhature,spicy,Chole Bhature spicy snack,94
Mutton Curry,spicy,Mutton Curry spicy dinner,95
Burger,spicy,Burger spicy breakfast,96
Kathi Roll,spicy,Kathi Roll spicy lunch,97
Paneer Butter Masala,spicy,Paneer Butter Masala spicy lunch,98
Idli,mild,Idli mild snack,99
Vada Pav,spicy,Vada Pav spicy dinner,100
Curd Rice,mild,Curd Rice mild dinner,101
Masala Dosa,mild,Masala Dosa mild breakfast,102
Upma,mild,Upma mild snack,103
Pizza,spicy,Pizza spicy snack,104
Fish Fry,spicy,Fish Fry spicy breakfast,105
Thali,mild,Thali mild dinner,106
Kathi Roll,spicy,Kathi Roll spicy dinner,107
Dal Tadka,mild,Dal Tadka mild lunch,108
Idli,mild,Idli mild lunch,109
Upma,mild,Upma mild breakfast,110
Palak Paneer,mild,Palak Paneer mild dinner,111
Spring Roll,spicy,Spring Roll spicy snack,112
Fish Fry,spicy,Fish Fry spicy snack,113
Thali,mild,Thali mild breakfast,114
Chole Bhature,spicy,Chole Bhature spicy breakfast,115
Samosa,spicy,Samosa spicy lunch,116
Samosa,spicy,Samosa spicy snack,117
Manchurian,spicy,Manchurian spicy lunch,118
Pav Bhaji,spicy,Pav Bhaji spicy breakfast,119
